_id,placeId,stationName,address,bussinessStatus,location,openingHours,rating,totalUserRating,__v
{'$oid': '66a7e5782c46f369188022f3'},ChIJp7He9JyrNTERlGSupQ-4B3M,VinFast Charging Station,"Hầm B3, Đống Đa, Hà Nội, Vietnam",OPERATIONAL,"{'lat': 21.023161, 'lng': 105.80954}",Open,3.7,9,0
{'$oid': '66a7e5782c46f369188022f6'},ChIJ1b80hV6tNTERSU-cpegiQrY,EV ONE Charging Station,"8 Đ. Phạm Hùng, Mễ Trì, Nam Từ Liêm, Hà Nội 100000, Vietnam",OPERATIONAL,"{'lat': 21.0104655, 'lng': 105.7884828}",Open,5,2,0
{'$oid': '66a7e5792c46f369188022f9'},ChIJ6a-1EF2rNTERKnYcuUlW0RE,VinFast Charging Station,"Vincom Center, 191 P. Bà Triệu, Lê Đại Hành, Hai Bà Trưng, Hà Nội 11600, Vietnam",OPERATIONAL,"{'lat': 21.0114, 'lng': 105.850021}",Open,3.4,5,0
{'$oid': '66a7e5792c46f369188022fc'},ChIJGRUcpmqrNTERZn-xAT8VC1Q,VinFast Charging Station,"Khách sạn Somerset West Lake Hanoi, Đ. Thụy Khuê, Thuỵ Khuê, Tây Hồ, Hà Nội, Vietnam",OPERATIONAL,"{'lat': 21.0439717, 'lng': 105.8187076}",Open,4,1,0
{'$oid': '66a7e5792c46f369188022ff'},ChIJ4REsCnatNTERn5FxwatfKLw,VinFast Charging Station,"Vincom Center, Hầm B2 TTTM, số 2 P.Phạm Ngọc Thạch, Kim Liên, Đống Đa, Hà Nội 11500, Vietnam",OPERATIONAL,"{'lat': 21.0060628, 'lng': 105.8316879}",Open,5,2,0
{'$oid': '66a7e57a2c46f36918802302'},ChIJgX0RMW2rNTERImydD6YYtes,VinFast Charging Station,"Bãi đỗ xe Khách sạn La Thành, số 226 P. Vạn Phúc, Liễu Giai, Ba Đình, Hà Nội 11100, Vietnam",OPERATIONAL,"{'lat': 21.033375, 'lng': 105.819283}",Open,5,1,0
{'$oid': '66a7e57a2c46f36918802305'},ChIJfat34WirNTERy_YWyEDyyvo,VinFast Charging Station,"Cột M6, hầm B3, Vincom Center Metropolis, số 29 P. Liễu Giai, Ba Đình, Hà Nội 11100, Vietnam",OPERATIONAL,"{'lat': 21.03126, 'lng': 105.814598}",Open,0,0,0
{'$oid': '66a7e57a2c46f36918802308'},ChIJSdpnNwBTNDERMj-pMLFXJbY,Charge+ Charging Station,"XQ84+7CQ Trung tâm thương mại ParkCity, Đ. Lê Trọng Tấn, La Khê, Hà Đông, Hà Nội 10000, Vietnam",OPERATIONAL,"{'lat': 20.9657526, 'lng': 105.7560676}",Closed,5,2,0
{'$oid': '66a7e57b2c46f3691880230b'},ChIJN4Ce3zerNTERPAMFrloFcYo,VinFast Charging Station,"Chung cư số 10 Hoa Lư, Lê Đại Hành, Hai Bà Trưng, Hà Nội 11600, Vietnam",OPERATIONAL,"{'lat': 21.0097137, 'lng': 105.8474521}",Open,0,0,0
{'$oid': '66a7e57b2c46f3691880230e'},ChIJt9wVv4qtNTERT6BEyRgTnak,VinFast Charging Station,"Đại lý ô tô VinFast Newway 183, đường Yên Lãng, 358 Đ. Láng, Đống Đa, Hà Nội 11500, Vietnam",OPERATIONAL,"{'lat': 21.009211, 'lng': 105.815071}",Open,0,0,0
{'$oid': '66a7e57b2c46f36918802311'},ChIJ2fdcQwCpNTER0hvhYUqyIFM,Electric Vehicle Charging Station,"2V9M+FW8, Long Biên, Hà Nội, Vietnam",OPERATIONAL,"{'lat': 21.0186691, 'lng': 105.8848432}",Open,5,1,0
{'$oid': '66a7e57c2c46f36918802314'},ChIJ9SmE8-CtNTER2UdPoErOKKc,VinFast Charging Station,"Hầm B3 Golden West Complex, 2 P. Lê Văn Thiêm, Thanh Xuân, Hà Nội 11400, Vietnam",OPERATIONAL,"{'lat': 21.00248, 'lng': 105.80233}",Open,0,0,0
{'$oid': '66a7e57c2c46f36918802317'},ChIJ3wPNKACrNTERR-UXGMVeKlg,EverCharge Charging Station,"2QJM+3VC, Ng. 3 P. Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Vietnam",OPERATIONAL,"{'lat': 21.0301953, 'lng': 105.7846478}",Closed,0,0,0
{'$oid': '66a7e57c2c46f3691880231a'},ChIJR1xr_02rNTERxEE93A4762s,VinFast Charging Station,"Hầm B3, tòa SomerSet West Point, số 2, Tây Hồ, Hà Nội 11200, Vietnam",OPERATIONAL,"{'lat': 21.066486, 'lng': 105.826286}",Open,0,0,0
{'$oid': '66a7e57d2c46f3691880231d'},ChIJxw8gtXytNTERlKd-tS-SOuY,VinFast Charging Station,"Hầm B3 văn phòng Coninco Tower, 4 P. Tôn Thất Tùng, Kim Liên, Đống Đa, Hà Nội 11500, Vietnam",OPERATIONAL,"{'lat': 21.00581, 'lng': 105.830666}",Open,0,0,0
{'$oid': '66a7e57d2c46f36918802320'},ChIJibxpPN1TNDERmGE-X1Lle_4,EVCar Charging Station,"13 BT1, KĐT, Hà Đông, Hà Nội 100000, Vietnam",OPERATIONAL,"{'lat': 20.9814871, 'lng': 105.7670038}",Open,0,0,0
{'$oid': '66a7e57d2c46f36918802323'},ChIJBW2968mtNTERCXpo7AmJtqg,VinFast Charging Station,"Hầm B1 chung cư King Palace, 108 Đ. Nguyễn Trãi, Thượng Đình, Thanh Xuân, Hà Nội 11400, Vietnam",OPERATIONAL,"{'lat': 21.000008, 'lng': 105.814552}",Open,0,0,0
{'$oid': '66a7e57e2c46f36918802326'},ChIJ2SvHig-tNTERrOZO6j4jGgE,VinFast Charging Station,"TTTM Trương Định Plaza, 461 Đ. Trương Định, Tân Mai, Hoàng Mai, Hà Nội 11700, Vietnam",OPERATIONAL,"{'lat': 20.985142, 'lng': 105.846504}",Open,4.5,2,0
{'$oid': '66a7e57e2c46f36918802329'},ChIJu8bpYbatNTERlqRnpy-KxxQ,VinFast Charging Station,"Hầm B3 toà R6, Vinhomes, 72A Đ. Nguyễn Trãi, Khu đô thị Royal City, Thanh Xuân, Hà Nội 11400, Vietnam",OPERATIONAL,"{'lat': 21.0007, 'lng': 105.815971}",Open,5,1,0
{'$oid': '66a7e57e2c46f3691880232c'},ChIJM6l9WgCtNTERN8yGxl8Z9vk,Electric Vehicle Charging Station,"XVV9+V3V, Khu đô thị Times City, Hai Bà Trưng, Hà Nội, Vietnam",OPERATIONAL,"{'lat': 20.9947322, 'lng': 105.8676593}",Closed,0,0,0
{'$oid': '66a7e57f2c46f3691880232f'},ChIJXbKgLJOtNTERUiUowQV4-GQ,VinFast Charging Station,"2 Đ. Phạm Hùng, Mỹ Đình, Nam Từ Liêm, Hà Nội 12000, Vietnam",OPERATIONAL,"{'lat': 21.007372, 'lng': 105.786278}",Open,4.5,4,0
{'$oid': '66a7e57f2c46f36918802332'},ChIJqXSw3bZTNDERC0G0YidDnkI,VinFast Charging Station,"2Q43+R7, Bãi xe ngoài trời, bên sườn Vincom Mega Mall Smart City, Nam Từ Liêm, Hà Nội, Vietnam",OPERATIONAL,"{'lat': 21.0065037, 'lng': 105.7531216}",Open,4,17,0
{'$oid': '66a7e57f2c46f36918802335'},ChIJ2ZqYlgupNTERmOovUeVsSMU,Charge+ Charging Station,"9 P. Mai Chí Thọ, Giang Biên, Long Biên, Hà Nội 100000, Vietnam",OPERATIONAL,"{'lat': 21.061372, 'lng': 105.9132139}",Open,0,0,0
{'$oid': '66a7e57f2c46f36918802338'},ChIJPW7dKKmrNTERuS0ic0xe3LU,VinFast Charging Station,"Hầm B3 chung cư Discovery Complex, 302 Đ. Cầu Giấy, Dịch Vọng, Cầu Giấy, Hà Nội 11300, Vietnam",OPERATIONAL,"{'lat': 21.035318, 'lng': 105.794701}",Open,1,1,0
{'$oid': '66a7e5802c46f3691880233b'},ChIJzecRbg6pNTERUlc2cp7ZLsc,VinFast Charging Station,"Vinhomes Clubhouse Phong Lan, KĐT sinh thái, Khu đô thị Vinhomes Riverside, Long Biên, Hà Nội 11800, Vietnam",OPERATIONAL,"{'lat': 21.041599, 'lng': 105.9076}",Open,0,0,0
{'$oid': '66a7e5802c46f3691880233e'},ChIJu4pLGwKtNTERtf_nskXrkLo,VinFast Charging Station,"Hầm B1, chung cư Stellar Garden, 35 P. Lê Văn Thiêm, Thanh Xuân Trung, Thanh Xuân, Hà Nội 11400, Vietnam",OPERATIONAL,"{'lat': 20.999409, 'lng': 105.804291}",Open,0,0,0
{'$oid': '66a7e5802c46f36918802341'},ChIJs9tPVWStNTERGMPcHfky87s,VinFast Charging Station,"phòng khám Vinmec, Hầm gửi xe, 458 P. Minh Khai, Khu đô thị Times City, Hai Bà Trưng, Hà Nội 11600, Vietnam",OPERATIONAL,"{'lat': 20.997349, 'lng': 105.868355}",Open,0,0,0
{'$oid': '66a7e5812c46f36918802344'},ChIJkzFRKKytNTER_aA2WY3Nw10,VinFast Charging Station,"Cột 06-H2,Hầm B2, Tòa, 1 P. Trần Thủ Độ, Hoàng Liệt, Hoàng Mai, Hà Nội 11700, Vietnam",OPERATIONAL,"{'lat': 20.96422, 'lng': 105.848106}",Open,0,0,0
{'$oid': '66a7e5812c46f36918802347'},ChIJpR8Pb7OrNTERgp0pHOXqwoE,GreenCharge Charging Station,"797 Đ. Nguyễn Hoàng Tôn, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội, Vietnam",OPERATIONAL,"{'lat': 21.0780863, 'lng': 105.7887389}",Closed,0,0,0
{'$oid': '66a7e5812c46f3691880234a'},ChIJIcaqt-lTNDERCS44SSw2ifY,VinFast Charging Station,"Hầm 1, chung cư CT2, 3 Dream Town, đường 70, Nam Từ Liêm, Hà Nội 12000, Vietnam",OPERATIONAL,"{'lat': 21.016371, 'lng': 105.747757}",Open,3.7,3,0
{'$oid': '66a7e5822c46f3691880234d'},ChIJHSDtM1WtNTERCbbOED_CrSM,VinFast Charging Station,"Bãi đỗ xe trên sảnh B tòa chung cư A15, Đ. Kim Giang, Hoàng Mai, Hà Nội 11700, Vietnam",OPERATIONAL,"{'lat': 20.980453, 'lng': 105.814133}",Open,0,0,0
{'$oid': '66a7e5822c46f36918802350'},ChIJXU_CIimtNTERdraDrWMa1fo,VinFast Charging Station,"478 P. Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội, Vietnam",OPERATIONAL,"{'lat': 20.9968886, 'lng': 105.866647}",Closed,5,1,0
{'$oid': '66a7e5822c46f36918802353'},ChIJifVTn11TNDER2jXpJu_xQno,VinFast Charging Station,"Hầm nhà xe F2, Vinhomes Smart City, Nam Từ Liêm, Hà Nội 12000, Vietnam",OPERATIONAL,"{'lat': 21.0089851, 'lng': 105.7426855}",Open,3.7,3,0
{'$oid': '66a7e5832c46f36918802356'},ChIJ9aRueo2tNTERC6DFpNb7qPo,VinFast Charging Station,"Chung cư Intracom, 66 Đ. Trung Văn, Nam Từ Liêm, Hà Nội 12000, Vietnam",OPERATIONAL,"{'lat': 20.990789, 'lng': 105.78775}",Open,0,0,0
{'$oid': '66a7e5832c46f36918802359'},ChIJG4A1O_irNTERLtvcY7LchH4,Electric Vehicle Charging Station,"Nhà B1, Trần Đăng Ninh, Dịch Vọng, Cầu Giấy, Hà Nội, Vietnam",OPERATIONAL,"{'lat': 21.0402838, 'lng': 105.7907781}",Open,5,1,0
{'$oid': '66a7e5832c46f3691880235c'},ChIJ4QCnxsypNTERU4RoSV6P3ng,VinFast Charging Station,"Bãi đỗ xe ngoài trời chung cư, Sunrise Building III B, Phúc Đồng, Long Biên, Hà Nội 11800, Vietnam",OPERATIONAL,"{'lat': 21.038829, 'lng': 105.9066119}",Open,3.7,3,0
{'$oid': '66a7e5842c46f3691880235f'},ChIJV9VVyr2pNTERIwIaR5-5d5Y,VinFast Charging Station,"Hầm B1, TTTM, Long Biên, Hà Nội, Vietnam",OPERATIONAL,"{'lat': 21.0510204, 'lng': 105.9168038}",Open,4.5,2,0
{'$oid': '66a7e5842c46f36918802362'},ChIJ_cP9kZqtNTERA21_-pk94WQ,VinFast Charging Station,"Chung cư CT4-A1, P. Bằng Liệt, Khu đô thị Tây Nam Linh Đàm, Hoàng Mai, Hà Nội 11700, Vietnam",OPERATIONAL,"{'lat': 20.9641636, 'lng': 105.8220066}",Open,1.7,3,0
{'$oid': '66a7e5842c46f36918802365'},ChIJVYTMVgCpNTERUci2tdjnVrA,VinFast Charging Station,"BL10-06 Bằng Lăng 10, Phúc Lợi, Long Biên, Hà Nội, Vietnam",OPERATIONAL,"{'lat': 21.050893, 'lng': 105.9154397}",Open,0,0,0
{'$oid': '66a7e5852c46f36918802368'},ChIJDxortJavNTER4MOyEp8hpbE,VinFast Charging Station,"Vinhomes Ocean Park, Đa Tốn, Gia Lâm, Hà Nội 12400, Vietnam",OPERATIONAL,"{'lat': 20.98964, 'lng': 105.94244}",Open,0,0,0
{'$oid': '66a7e5852c46f3691880236b'},ChIJiVuWfb6vNTERXggYtbJ5DyM,VinFast Charging Station,"Hầm S1 10-12, B3 CT05, PK3, Vinhomes Ocean Park, Đa Tốn, Gia Lâm, Hà Nội 12400, Vietnam",OPERATIONAL,"{'lat': 20.990129, 'lng': 105.940887}",Open,0,0,0
{'$oid': '66a7e5852c46f3691880236e'},ChIJqTzkhvutNTERfbA-AC8YIBM,VinFast Charging Station,"Bãi đỗ xe TTTM Big C, 222 Đ. Trần Duy Hưng, Trung Hoà, Cầu Giấy, Hà Nội 11300, Vietnam",OPERATIONAL,"{'lat': 21.006773, 'lng': 105.793716}",Closed,5,3,0
{'$oid': '66a7e5852c46f36918802371'},ChIJZaxRXQurNTERVIjsn8FUU-k,Porsche Destination Charging,"Capital Place, 29 P. Liễu Giai, Ngọc Khánh, Ba Đình, Hà Nội 100000, Vietnam",OPERATIONAL,"{'lat': 21.0314906, 'lng': 105.8140497}",Closed,3,1,0
{'$oid': '66a7e5862c46f36918802374'},ChIJn--wKk-vNTERzOrh0HrAzAA,VinFast Charging Station,"Hầm B2 tòa Technopark, khu đô thị Vinhomes Ocean Park, Đa Tốn, Gia Lâm, Hà Nội 12400, Vietnam",OPERATIONAL,"{'lat': 20.98871, 'lng': 105.942436}",Open,0,0,0
{'$oid': '66a7e5862c46f36918802377'},ChIJCRwNE_ytNTERD1xsdx5dwaU,VinFast Charging Station,"Chung cư Rainbow Linh Đàm, Hoàng Mai, Hà Nội 11700, Vietnam",OPERATIONAL,"{'lat': 20.9641425, 'lng': 105.8243612}",Open,5,1,0
{'$oid': '66a7e5862c46f3691880237a'},ChIJ8c1RuQOvNTERJCdXOCTZ8yA,VinFast Charging Station,"Hầm toà S2.01 đến S2.03 Vinhomes Ocean Park, Đa Tốn, Gia Lâm, Hà Nội 12400, Vietnam",OPERATIONAL,"{'lat': 20.99094, 'lng': 105.940781}",Open,0,0,0
